ARK | Intel® Product Specification Comparison
08/24/2023 09:02:23 PM
 ,Intel® Core™ i7-7740X X-series Processor ,Intel® Core™ i7-8550U Processor ,Intel® Core™ i7-7800X X-series Processor ,Intel® Core™ i7-7820X X-series Processor ,Intel® Core™ i7-8650U Processor ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i7-8700T Processor ,Intel® Core™ i7-8706G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-8709G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8809G Processor with Radeon™ RX Vega M GH graphics ,Intel® Core™ i7-8705G Processor with Radeon™ RX Vega M GL graphics ,Intel® Core™ i7-12700TE Processor ,Intel® Core™ i7-12700E Processor ,Intel® Core™ i7-12700H Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700K Processor ,Intel® Core™ i7-12700KF Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i7-8850H Processor ,Intel® Core™ i7-8700B Processor ,Intel® Core™ i7-8750H Processor ,Intel® Core™ i7-8559U Processor ,Intel® Core™ i7-8086K Processor ,Intel® Core™ i7-8706G Processor with Radeon™ Pro WX Vega M GL graphics ,Intel® Core™ i7-8565U Processor ,Intel® Core™ i7-8500Y Processor ,Intel® Core™ i7-9700K Processor ,Intel® Core™ i7-9800X X-series Processor ,Intel® Core™ i7-9700KF Processor ,Intel® Core™ i7-9750H Processor ,Intel® Core™ i7-9750HF Processor ,Intel® Core™ i7-9850H Processor ,Intel® Core™ i7-9700T Processor ,Intel® Core™ i7-8569U Processor ,Intel® Core™ i7-9700 Processor ,Intel® Core™ i7-8557U Processor ,Intel® Core™ i7-8665UE Processor ,Intel® Core™ i7-8665U Processor ,Intel® Core™ i7-9700F Processor ,Intel® Core™ i7-9700E Processor ,Intel® Core™ i7-9850HE Processor ,Intel® Core™ i7-9700TE Processor ,Intel® Core™ i7-9850HL Processor ,Intel® Core™ i7-10710U Processor ,Intel® Core™ i7-10510U Processor ,Intel® Core™ i7-10510Y Processor ,Intel® Core™ i7-11370H Processor ,Intel® Core™ i7-11375H Processor ,Intel® Core™ i7-10700T Processor ,Intel® Core™ i7-10700 Processor ,Intel® Core™ i7-10700F Processor ,Intel® Core™ i7-10700KF Processor ,Intel® Core™ i7-10700K Processor ,Intel® Core™ i7-10750H Processor ,Intel® Core™ i7-10810U Processor ,Intel® Core™ i7-10610U Processor ,Intel® Core™ i7-10850H Processor ,Intel® Core™ i7-10875H Processor ,Intel® Core™ i7-10700TE Processor ,Intel® Core™ i7-10700E Processor ,Intel® Core™ i7-10870H Processor ,Intel® Core™ i7-11700K Processor ,Intel® Core™ i7-11700KF Processor ,Intel® Core™ i7-11700T Processor ,Intel® Core™ i7-11700 Processor ,Intel® Core™ i7-11700F Processor ,Intel® Core™ i7-11850H Processor ,Intel® Core™ i7-11600H Processor ,Intel® Core™ i7-11800H Processor ,Intel® Core™ i7-11390H Processor ,Intel® Core™ i7-11850HE Processor ,Intel® Core™ i7-12800HE Processor ,Intel® Core™ i7-12800HX Processor ,Intel® Core™ i7-12800H Processor ,Intel® Core™ i7-12650H Processor ,Intel® Core™ i7-12850HX Processor ,Intel® Core™ i7-12700HL Processor ,Intel® Core™ i7-12650HX Processor ,Intel® Core™ i7-12800HL Processor ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i7-13650HX Processor ,Intel® Core™ i7-13700H Processor ,Intel® Core™ i7-13620H Processor ,Intel® Core™ i7-13700TE Processor ,Intel® Core™ i7-13705H Processor ,Intel® Core™ i7-13800HE Processor ,Intel® Core™ i7-13850HX Processor ,Intel® Core™ i7-13800H Processor ,Intel® Core™ i7-13700HX Processor ,Intel® Core™ i7-13700E Processor ,Intel® Core™ i7-13800HRE Processor ,Intel® Core™ i7-6820HK Processor ,Intel® Core™ i7-6820HQ Processor ,Intel® Core™ i7-6920HQ Processor ,Intel® Core™ i7-6820EQ Processor ,Intel® Core™ i7-6822EQ Processor ,Intel® Core™ i7-6970HQ Processor ,Intel® Core™ i7-6785R Processor ,Intel® Core™ i7-6870HQ Processor ,Intel® Core™ i7-6770HQ Processor ,Intel® Core™ i7-6850K Processor ,Intel® Core™ i7-6800K Processor ,Intel® Core™ i7-6900K Processor ,Intel® Core™ i7-6950X Processor Extreme Edition ,Intel® Core™ i7-7500U Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i7-7820EQ Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor ,Intel® Core™ i7-7700HQ Processor ,Intel® Core™ i7-7920HQ Processor ,Intel® Core™ i7-7820HK Processor ,Intel® Core™ i7-7600U Processor ,Intel® Core™ i7-7820HQ Processor ,Intel® Core™ i7-7660U Processor ,Intel® Core™ i7-7560U Processor ,Intel® Core™ i7-7567U Processor 
Intel® TSX-NI,,No,,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,,,,Yes,Yes,No,No,Yes,Yes,No,No,Yes,,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,,,No,No,No,No,No,No,No,No,No,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,,,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Idle States,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Enhanced Intel SpeedStep® Technology,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Thermal Monitoring Technologies,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Flex Memory Access,,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Identity Protection Technology ‡,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Smart Response Technology,,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® My WiFi Technology,,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
# of AVX-512 FMA Units,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Turbo Boost Max Technology 3.0 ‡,,,,Yes,,,,,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,No,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,
Intel® Gaussian & Neural Accelerator,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thread Director,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost),,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Volume Management Device (VMD),,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Time Coordinated Computing (Intel® TCC)‡,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Image Processing Unit,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,,6.0,,,6.0,,6.0,,,,,,,6.0,,,6.0,6.0,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Smart Sound Technology,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Wake on Voice,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® High Definition Audio,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPI SoundWire*,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,1.2,1.2,1.2,,1.2,1.2,1.2,1.2,1.2,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Adaptix™ Technology,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,,,,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thermal Velocity Boost,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,No,No,No,,,,,,Yes,,,,,,No,Yes,No,,,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secure Boot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,

Security & Reliability
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secure Key,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Software Guard Extensions (Intel® SGX),,Yes with Intel® ME,,,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,,,,,,,,,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,No,No,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,,,,,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME,Yes with Intel® ME
Intel® Trusted Execution Technology ‡,,No,,,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,,Yes,,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,,,No,Yes,Yes,No,Yes,,Yes,Yes,No,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,,No,Yes,No,Yes,Yes,Yes,No,No
Execute Disable Bit ‡,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
